Hero 910,910 30,30
Monster 200,200 30,30
Coin 10,10 50,50
LavaTile 50,150 50,50
TeleportTile 100,100 50,50 150,150
RightWall 10,0 10,0
LeftWall 0,0 10,0
TopWall 0,0 0,10
BottomWall 0,10 0,10
SwiftTile 200,350 50,50
InvincibilityTile 220,125 50,50
Obstacle 850,800 50,50
Obstacle 800,850 50,50
Obstacle 800,800 50,50
Obstacle 800,950 50,50
Obstacle 950,800 50,50
Obstacle 750,850 50,50
Obstacle 750,950 50,50
Obstacle 700,950 50,50
Obstacle 650,950 50,50
Obstacle 700,850 50,50
Obstacle 700,800 50,50
Obstacle 700,750 50,50
Obstacle 650,750 50,50
Obstacle 600,750 50,50
Obstacle 750,950 50,50
Obstacle 700,950 50,50
Obstacle 650,950 50,50
Obstacle 600,950 50,50
Obstacle 550,950 50,50
Obstacle 500,950 50,50
Obstacle 500,900 50,50
Obstacle 500,800 50,50
Obstacle 500,750 50,50
Obstacle 500,700 50,50
Obstacle 950,750 50,50
Obstacle 950,700 50,50
Obstacle 950,650 50,50
Obstacle 950,600 50,50
Obstacle 950,550 50,50
Obstacle 950,500 50,50
Obstacle 950,450 50,50
Obstacle 950,350 50,50
Obstacle 900,350 50,50
Obstacle 850,350 50,50
Obstacle 850,400 50,50
Obstacle 800,400 50,50
Obstacle 750,400 50,50
Obstacle 750,350 50,50
Obstacle 750,300 50,50
Obstacle 750,250 50,50
Obstacle 750,200 50,50
Obstacle 750,200 50,50
Obstacle 900,500 50,50
Obstacle 850,500 50,50
Obstacle 800,500 50,50
Obstacle 750,500 50,50
Obstacle 0,0 50,50
Obstacle 850,700 50,50
Obstacle 850,650 50,50
Obstacle 850,600 50,50
Obstacle 800,650 50,50
Obstacle 750,650 50,50
Obstacle 700,650 50,50
Obstacle 650,650 50,50
Obstacle 0,0 50,50
Obstacle 400,400 50,50
Obstacle 450,400 50,50
Obstacle 500,400 50,50
Obstacle 500,450 50,50
Obstacle 550,450 50,50
Obstacle 500,550 50,50
Obstacle 500,600 50,50
Obstacle 550,550 50,50
Obstacle 600,550 50,50
Obstacle 500,650 50,50
GlueTile 500,500 50,50
SwiftTile 750,900 50,50
LavaTile 550,900 50,50
Monster 600,650 30,30
InvincibilityTile 750,600 50,50
